,sector,type,usd_per_ton,output,share_exporting_firms,cutoff,supply_data,country,country_ISO,final_demand,export
47,AUS_wtr,WTR,1000,25142,0.010160687,0,USD,AUS,AUS,10284.06784,255.46
48,AUS_cns,CNS,1000,335020,0.000522297,0,USD,AUS,AUS,206322.7909,174.98
49,AUS_trd,TRD,1000,230890,0.017682966,0,USD,AUS,AUS,126814.9416,4082.82
50,AUS_afs,AFS,1000,84741,0.026631147,0,USD,AUS,AUS,70565.16252,2256.75
51,AUS_otp,OTP,1000,115350,0.036216298,0,USD,AUS,AUS,28924.87919,4177.55
52,AUS_wtp,WTP,1000,7843.9,0.152485371,0,USD,AUS,AUS,3383.185391,1196.08
53,AUS_atp,ATP,1000,19896,0.341902895,0,USD,AUS,AUS,10735.47227,6802.5
54,AUS_whs,WHS,1000,28245,0.028421314,0,USD,AUS,AUS,5681.656619,802.76
55,AUS_cmn,CMN,1000,123880,0.018931708,0,USD,AUS,AUS,39239.34925,2345.26
56,AUS_ofi,OFI,1000,145460,0.013564966,0,USD,AUS,AUS,34831.07278,1973.16
57,AUS_ins,INS,1000,26951,0.058050165,0,USD,AUS,AUS,13032.41398,1564.51
58,AUS_rsa,RSA,1000,65564,0.009680465,0,USD,AUS,AUS,18032.8389,634.69
59,AUS_obs,OBS,1000,220930,0.031673426,0,USD,AUS,AUS,24757.41999,6997.61
60,AUS_ros,ROS,1000,76674,0.061525941,0,USD,AUS,AUS,46205.02495,4717.44
61,AUS_osg,OSG,1000,109660,0.01041273,0,USD,AUS,AUS,104000.6525,1141.86
62,AUS_edu,EDU,1000,85731,0.036719156,0,USD,AUS,AUS,76257.21006,3147.97
63,AUS_hht,HHT,1000,150260,0.020436111,0,USD,AUS,AUS,142957.1957,3070.73
64,AUS_dwe,DWE,1000,149960,0,0,USD,AUS,AUS,149842.1836,0
65,NZL_pdr,PDR,1000,1.0959,0.045624601,0,USD,NZL,NZL,0.018700008,0.05
66,NZL_wht,WHT,1000,129.16,0.009677919,0,USD,NZL,NZL,8.114237999,1.25
67,NZL_gro,GRO,1000,220.67,0.080482168,0,USD,NZL,NZL,4.932261364,17.76
68,NZL_v_f,V_F,1000,2735.3,0.549574087,0,USD,NZL,NZL,1387.3817,1503.25
69,NZL_osd,OSD,1000,12.319,0.875071028,0,USD,NZL,NZL,0.516399108,10.78
70,NZL_c_b,C_B,1000,2.7258,0.073372955,0,USD,NZL,NZL,0.568218959,0.2
71,NZL_pfb,PFB,1000,47.568,0.031323579,0,USD,NZL,NZL,23.877244,1.49
72,NZL_ocr,OCR,1000,235.31,0.642301645,0,USD,NZL,NZL,32.48802387,151.14
73,NZL_ctl,CTL,1000,4315.7,0.055258707,0,USD,NZL,NZL,187.0735869,238.48
74,NZL_oap,OAP,1000,861.7,0.679853777,0,USD,NZL,NZL,188.5781231,585.83
